"id_talhao","regiao_produtora","cultivar","manejo","irrigacao","altitude_m","declividade_pct","idade_lavoura_anos","densidade_plantio","adubacao_n_kg_ha","precipitacao_safra_mm","umidade_relativa_pct","ph_solo","materia_organica_pct","n_armadilhas","dias_exposicao","n_brocas_capturadas","severidade_ferrugem","padrao_exportacao"
"TAL001","Sul de Minas","Catuai","Integrado","Nao",1036,22.6,14.3,2770,460,1592,68.6,5.49,2.11,6,15,1,0.0958,1
"TAL002","Cerrado Mineiro","Mundo Novo","Convencional","Sim",910,16.9,8.7,4058,238,1397,78.4,5.48,2.52,9,15,7,0.1344,1
"TAL003","Cerrado Mineiro","Bourbon","Convencional","Sim",971,24.8,10.6,4009,292,1449,81.4,5.81,2.22,7,15,11,0.3424,1
"TAL004","Cerrado Mineiro","Mundo Novo","Convencional","Sim",1004,1,6,3360,272,1473,67.8,5.12,2.51,9,15,1,0.0862,1
"TAL005","Mogiana","Mundo Novo","Convencional","Sim",734,19.1,5.6,4836,335,1919,82.1,4.88,3.93,6,30,46,0.2579,0
"TAL006","Mogiana","Catuai","Convencional","Nao",949,16.5,10.8,2563,191,1556,69.9,5.48,2.68,8,30,4,0.2353,0
"TAL007","Matas de Minas","Icatu","Integrado","Sim",496,23.6,7.4,4461,362,1133,76.6,6.28,3.47,4,15,2,0.1376,1
"TAL008","Matas de Minas","Mundo Novo","Convencional","Sim",1237,27.2,8.4,2797,394,1760,74.1,5.63,3.06,11,15,7,0.0796,1
"TAL009","Cerrado Mineiro","Mundo Novo","Convencional","Sim",1094,16.4,6.9,3675,355,1407,67.6,5.35,2.24,5,15,0,0.1526,1
"TAL010","Cerrado Mineiro","Catuai","Convencional","Nao",844,15.1,8,4024,322,1513,70.4,5.01,3.56,5,30,4,0.4314,0
"TAL011","Cerrado Mineiro","Mundo Novo","Integrado","Nao",1193,23.8,4.9,3578,290,1576,68.6,6.01,2.87,8,15,1,0.0173,1
"TAL012","Matas de Minas","Catuai","Integrado","Sim",923,30.8,7,2716,284,1732,73.2,5.74,3.18,4,30,1,0.1406,1
"TAL013","Mogiana","Catuai","Integrado","Nao",907,23.7,8.7,2408,257,1454,83.2,5.49,1.02,8,20,9,0.0339,1
"TAL014","Matas de Minas","Mundo Novo","Convencional","Nao",681,26,6.4,3309,234,1144,68.4,4.54,2.52,7,15,1,0.1093,0
"TAL015","Sul de Minas","Mundo Novo","Integrado","Nao",1025,17.5,2.7,3994,503,2067,70.8,5.88,1.56,6,15,0,0.229,0
"TAL016","Cerrado Mineiro","Bourbon","Convencional","Nao",922,22.7,14.2,3681,257,1617,78.9,5.41,1.69,7,15,8,0.1547,0
"TAL017","Sul de Minas","Catuai","Organico","Nao",1194,21.6,2.4,5076,295,1461,81.5,5.68,2.9,8,20,13,0.2031,0
"TAL018","Sul de Minas","Icatu","Convencional","Nao",1118,17.5,11.3,4104,369,1322,84.8,4.8,2.09,8,30,12,0.0772,0
"TAL019","Cerrado Mineiro","Mundo Novo","Convencional","Nao",957,18.6,2.9,3078,283,1306,77.7,4.95,2.17,12,15,9,0.1318,0
"TAL020","Sul de Minas","Catuai","Convencional","Sim",997,19.5,10.8,3565,337,1740,73.5,5.42,2.3,4,30,10,0.138,1
"TAL021","Mogiana","Icatu","Integrado","Sim",1278,16.7,6.1,4018,337,1654,71.5,5.19,2.49,8,20,2,0.0701,0
"TAL022","Cerrado Mineiro","Catuai","Integrado","Sim",947,8.5,6.1,3766,322,1392,63.4,5.52,3.1,11,30,11,0.0281,1
"TAL023","Sul de Minas","Catuai","Integrado","Sim",1343,8.3,3.3,2823,310,1520,76.1,5.51,2.23,6,20,5,0.1881,1
"TAL024","Matas de Minas","Bourbon","Integrado","Nao",818,25.8,3.4,2650,367,1625,79,4.87,2,4,20,0,0.0863,1
"TAL025","Sul de Minas","Catuai","Convencional","Sim",1232,31.1,7.3,3279,221,1386,76.4,5.26,2.48,6,20,1,0.0796,1
"TAL026","Matas de Minas","Mundo Novo","Convencional","Nao",529,20.8,12.3,3958,415,1730,68.4,5.81,3.52,9,20,4,0.142,0
"TAL027","Cerrado Mineiro","Catuai","Convencional","Sim",932,17.8,2.6,4011,228,1466,69.4,4.79,3.58,7,20,6,0.157,1
"TAL028","Sul de Minas","Catuai","Integrado","Sim",916,13,17.2,5469,277,1265,64.3,5.73,3.9,4,30,11,0.0698,1
"TAL029","Sul de Minas","Catuai","Integrado","Nao",1003,14.5,10.2,3876,394,1099,75.2,5.84,1.35,8,15,4,0.3369,1
"TAL030","Mogiana","Mundo Novo","Organico","Sim",729,12,9.2,3556,271,1573,76.9,5.47,3.44,12,20,27,0.1711,0
"TAL031","Cerrado Mineiro","Catuai","Integrado","Sim",1089,26.4,19,3423,453,1378,71.4,5.93,2.83,5,15,0,0.0858,1
"TAL032","Matas de Minas","Mundo Novo","Integrado","Nao",805,28.6,4.9,2024,296,1144,80.2,5.35,2.27,6,30,8,0.0606,1
"TAL033","Mogiana","Mundo Novo","Integrado","Nao",841,26.2,13.4,2896,259,1677,73.3,5.1,2.04,7,20,3,0.0989,0
"TAL034","Sul de Minas","Mundo Novo","Convencional","Sim",865,25.5,5.2,4068,419,1391,78.3,6.19,2.43,8,30,16,0.1431,0
"TAL035","Mogiana","Mundo Novo","Convencional","Nao",1117,39.4,12,3905,343,1917,79.5,5.2,2.07,4,15,8,0.2179,1
"TAL036","Sul de Minas","Catuai","Organico","Nao",1068,13.2,14.7,4269,154,1835,72.8,5.39,3.41,11,15,6,0.0489,0
"TAL037","Sul de Minas","Mundo Novo","Integrado","Sim",834,29.2,4.8,3840,532,1223,74.9,5.37,3.77,4,15,3,0.2221,0
"TAL038","Sul de Minas","Mundo Novo","Integrado","Sim",873,27.7,20.2,3629,427,1667,66.2,4.97,2.15,9,30,7,0.1419,0
"TAL039","Cerrado Mineiro","Catuai","Convencional","Nao",1047,20.4,3.6,3736,321,1841,80.2,5.82,2.97,12,15,10,0.1516,1
"TAL040","Sul de Minas","Bourbon","Organico","Nao",1109,15,12.3,3790,200,1366,68,6.02,2.53,4,20,5,0.1542,0
"TAL041","Cerrado Mineiro","Icatu","Integrado","Nao",1099,22.5,6.9,4256,292,1674,74.1,5.17,2.24,9,15,5,0.062,1
"TAL042","Cerrado Mineiro","Catuai","Organico","Sim",1005,18.1,9.9,2663,180,1161,74.6,5.32,4.24,11,15,25,0.027,1
"TAL043","Sul de Minas","Mundo Novo","Organico","Nao",1047,9.1,6.8,3291,330,1468,73.7,5.6,3.1,9,20,6,0.1111,1
"TAL044","Sul de Minas","Catuai","Convencional","Sim",863,18.5,16.7,4667,345,1626,82.6,5.51,2.93,11,15,14,0.4414,0
"TAL045","Cerrado Mineiro","Catuai","Integrado","Nao",1054,22.4,16.5,3466,391,1265,80.7,6.5,2.84,5,20,1,0.096,1
"TAL046","Sul de Minas","Catuai","Integrado","Nao",1098,9.9,7.1,3877,370,1602,83,4.58,2.9,10,15,5,0.1299,0
"TAL047","Cerrado Mineiro","Bourbon","Convencional","Nao",896,14.3,15.4,4790,270,1144,68.7,4.96,2.59,4,20,4,0.0908,1
"TAL048","Mogiana","Catuai","Organico","Sim",687,13.1,6.7,4360,403,1495,70.8,5.53,4.57,8,15,1,0.3147,1
"TAL049","Cerrado Mineiro","Catuai","Integrado","Nao",1055,20,11.2,4052,358,1462,83.4,5.24,2.49,12,15,10,0.147,1
"TAL050","Cerrado Mineiro","Catuai","Integrado","Sim",1274,11.5,4.5,2903,365,1449,59.5,5.57,1.59,11,30,3,0.0313,1
"TAL051","Sul de Minas","Icatu","Convencional","Nao",881,16.8,6.8,4643,398,1848,79.7,5.61,2.97,5,15,7,0.2141,0
"TAL052","Matas de Minas","Mundo Novo","Integrado","Sim",859,34.3,8.5,2068,225,1295,74.3,5.41,1.34,10,30,4,0.0546,1
"TAL053","Cerrado Mineiro","Mundo Novo","Integrado","Nao",1119,7.3,9.4,2663,275,1233,82.2,5.77,3.2,7,15,4,0.2061,1
"TAL054","Mogiana","Icatu","Integrado","Sim",1202,8.4,7.1,4117,299,1862,78.2,6.08,1.7,10,15,0,0.1704,1
"TAL055","Mogiana","Catuai","Organico","Sim",795,12.7,13.6,4521,186,1435,66.4,5.84,3.8,10,30,14,0.3297,1
"TAL056","Matas de Minas","Mundo Novo","Convencional","Nao",575,29.6,10.1,3699,389,863,60.3,5.54,2.16,4,20,1,0.0606,1
"TAL057","Sul de Minas","Icatu","Integrado","Nao",1102,18.4,3.8,3222,293,1511,71.2,5.89,1.65,6,30,1,0.1015,0
"TAL058","Cerrado Mineiro","Bourbon","Convencional","Sim",1012,10.8,6.7,4254,282,1812,79.9,5.23,2.37,6,20,12,0.4208,1
"TAL059","Matas de Minas","Bourbon","Convencional","Sim",713,30.5,12.1,2941,279,1356,73.9,6.66,3.37,11,20,11,0.1386,0
"TAL060","Sul de Minas","Mundo Novo","Convencional","Nao",1069,28.2,14.5,2956,255,1205,70,4.81,3.5,10,20,4,0.0353,0
